objectid,acres,wqclass_id,description,class,standard,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_perimetershape
28,3.625,30,Ko Olina,A,1, , ,1899/12/30 00:00:00+00,{7C67EBE4-02F1-4946-B700-795ADF1FD390},,,,2016/09/13 00:00:00+00,,,,14668.3021284718,527.859105531884
29,2.165,30,Ko Olina,A,1, , ,1899/12/30 00:00:00+00,{2EC3A172-D2EA-4912-86BA-7F5366167517},,,,2016/09/13 00:00:00+00,,,,8762.00011424042,380.883650363763
30,9.968,25,Barbers Point Harbor,A,1, , ,1899/12/30 00:00:00+00,{5BDC7517-AAD4-4554-9D05-654B02D5325F},,,,2016/09/13 00:00:00+00,,,,40339.2248507368,878.190262615513
31,368.715,23,Honolulu Harbor,A,1, , ,1899/12/30 00:00:00+00,{214DE1AC-AD33-400E-8679-9BD8F2B173AB},,,,2016/09/13 00:00:00+00,,,,1492134.39222289,16056.8916362385
32,687.397,20,Paiko Peninsula to Koko Head,A,1, , ,1899/12/30 00:00:00+00,{64FE8ED3-53A8-4011-AE88-0EAF7C59D1D9},,,,2016/09/13 00:00:00+00,,,,2781724.8297051,28368.9301363866
33,24.908,22,Kewalo Basin,A,1, , ,1899/12/30 00:00:00+00,{45F65393-B4E1-4306-A0F2-5B53B733A218},,,,2016/09/13 00:00:00+00,,,,100800.664896172,1634.78873014431
34,330183.221,31,Open coastal waters between westerly boundary of Hale O Lono Harbor to Lamaloa Head,AA,2, , ,1899/12/30 00:00:00+00,{EA11E140-E88A-44FD-83F1-3748987558EE},,,,2016/09/13 00:00:00+00,,,,1336183547.06473,382840.702677171
35,50.517,21,Ala Wai Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{9D53675F-63FA-4CD0-A396-EC42D3A9164A},,,,2016/09/13 00:00:00+00,,,,204434.986684991,4123.755574268
36,83.792,13,Hanauma Bay,AA,1, , ,1899/12/30 00:00:00+00,{EA61BC9D-5BA9-4E69-8C79-96A61480A383},,,,2016/09/13 00:00:00+00,,,,339085.397430944,2817.10274018246
37,74.369,18,Waikiki MLCD,AA,2, , ,1899/12/30 00:00:00+00,{4DA80368-4898-41DD-9C53-218D17C96571},,,,2016/09/13 00:00:00+00,,,,300959.706431505,2357.39118165361
38,3721.75,74,Open coastal waters between Lamaloa Head and Cape Halawa,A,2, , ,1899/12/30 00:00:00+00,{317BD35D-1C5B-483F-AE85-9D87014F3F37},,,,2016/09/13 00:00:00+00,,,,15061779.8041112,17838.1083984489
39,58824.924,32,Open coastal waters from Cape Halawa to the easterly boundary of Kaunakakai Harbor,AA,2, , ,1899/12/30 00:00:00+00,{DF235C4F-4C41-442B-95A7-FA9C1352DDEB},,,,2016/09/13 00:00:00+00,,,,238056906.803217,117190.606073474
40,29722.528,75,Open coastal waters between the east boundary of Kaunakakai,A,2, , ,1899/12/30 00:00:00+00,{F9A8E9DD-5CC7-45FC-BBB9-1ECB3C6D7DCC},,,,2016/09/13 00:00:00+00,,,,120282403.763922,64596.0026483923
41,14.304,33,Hale O Lono Harbor,A,1, , ,1899/12/30 00:00:00+00,{18EE3306-56A4-4BF1-B005-EB0E409EED4E},,,,2016/09/13 00:00:00+00,,,,57884.37429983,1224.26416030791
42,15.383,34,Kaunakakai Harbor,A,1, , ,1899/12/30 00:00:00+00,{522B9AD4-8031-45E4-81CE-E238BC8254F3},,,,2016/09/13 00:00:00+00,,,,62254.3599627906,1619.16893506165
43,7.627,35,Kaunakakai Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{552C71BD-004E-4411-8826-0018D5B2DF86},,,,2016/09/13 00:00:00+00,,,,30864.1352943606,865.642596135784
44,14703.653,41,Open coastal waters between Nakalele Point and Waihee Point,AA,2, , ,1899/12/30 00:00:00+00,{ECD68179-848D-4713-A422-B5204E9869D5},,,,2016/09/13 00:00:00+00,,,,59505630.2896759,44385.1051518555
45,32557.406,76,Open coastal waters between Waihee Point and Huelo Point,A,2, , ,1899/12/30 00:00:00+00,{96871271-115A-4933-B037-D87B23B56E94},,,,2016/09/13 00:00:00+00,,,,131758509.631507,74836.8033948021
46,26.31,44,Honolua-Mokuleia Bay MLCD Part 1: Honolua Bay,AA,1, , ,1899/12/30 00:00:00+00,{0C79EE37-181A-488F-AC73-EA233D4F6DC4},,,,2016/09/13 00:00:00+00,,,,106477.861132885,1301.50329272779
47,18.607,45,Honolua-Mokuleia Bay MLCD Part 2: Mokuleia Bay,AA,1, , ,1899/12/30 00:00:00+00,{88343892-B849-4006-8102-CF58284ABA21},,,,2016/09/13 00:00:00+00,,,,75302.003915353,1263.11294239258
48,33446.91,46,Kahului Bay,A,1, , ,1899/12/30 00:00:00+00,{236C8A07-6A1E-41BF-82D1-6FEA796375E3},,,,2016/09/13 00:00:00+00,,,,135359477.412099,66936.4380161449
49,127034.226,36,All open coastal waters surrounding the island,AA,2, , ,1899/12/30 00:00:00+00,{2A9E8E14-7B69-489F-A5D2-3E4C7219B085},,,,2016/09/13 00:00:00+00,,,,514098047.962727,220599.043974288
50,3.464,47,Lahaina Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{0DC5BE85-9949-442B-865B-E0DC7E40E4B3},,,,2016/09/13 00:00:00+00,,,,14018.0538809641,632.318520132457
51,15.587,48,Maalaea Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{C041C235-158A-431C-96F8-EEA96826EF9B},,,,2016/09/13 00:00:00+00,,,,63082.3402388649,1150.33318390922
52,20.533,40,Kaumalapau Harbor,A,1, , ,1899/12/30 00:00:00+00,{AFBE2B92-9897-4044-AE80-BB8F4CFC382D},,,,2016/09/13 00:00:00+00,,,,83095.1971611269,1099.44507418485
