airport,city,Average Fare,Inflation Adjusted Average Fare,year,quarter
ITO,Hilo,259.56,295.29,2019,4
MKK,Hoolehua,196.47,223.51,2019,4
LNY,Lanai,439.26,499.72,2019,4
JHM,Kapalua,269.66,306.77,2019,4
HNL,Honolulu,300.93,340.92,2020,1
OGG,Kahului,271.48,307.56,2020,1
KOA,Kona,261.86,296.65,2020,1
LIH,Lihue,244.11,276.55,2020,1
ITO,Hilo,178.11,201.77,2020,1
MKK,Hoolehua,245.88,278.55,2020,1
LNY,Lanai,235.07,266.31,2020,1
JHM,Kapalua,285.98,323.98,2020,1
HNL,Honolulu,268.87,306.25,2020,2
OGG,Kahului,217.2,247.4,2020,2
KOA,Kona,219.07,249.52,2020,2
LIH,Lihue,182.71,208.11,2020,2
ITO,Hilo,145.41,165.62,2020,2
MKK,Hoolehua,120.67,137.44,2020,2
LNY,Lanai,270.09,307.64,2020,2
HNL,Honolulu,267.52,301.3,2020,3
OGG,Kahului,201.3,226.72,2020,3
KOA,Kona,212.67,239.53,2020,3
LIH,Lihue,180.44,203.23,2020,3
ITO,Hilo,143.48,161.6,2020,3
MKK,Hoolehua,200.29,225.59,2020,3
LNY,Lanai,220.23,248.04,2020,3
HNL,Honolulu,320.29,359.91,2020,4
OGG,Kahului,269.5,302.84,2020,4
KOA,Kona,259.28,291.35,2020,4
LIH,Lihue,262.95,295.47,2020,4
ITO,Hilo,151.64,170.4,2020,4
MKK,Hoolehua,224.57,252.35,2020,4
LNY,Lanai,283.4,318.46,2020,4
HNL,Honolulu,291.19,323.73,2021,1
OGG,Kahului,280.21,311.53,2021,1
KOA,Kona,274.23,304.88,2021,1
LIH,Lihue,242.14,269.21,2021,1
ITO,Hilo,144.36,160.5,2021,1
MKK,Hoolehua,233.2,259.27,2021,1
LNY,Lanai,582.63,647.75,2021,1
JHM,Kapalua,484.0,538.1,2021,1
HNL,Honolulu,329.93,358.42,2021,2
OGG,Kahului,281.75,306.08,2021,2
KOA,Kona,277.62,301.59,2021,2
LIH,Lihue,273.12,296.71,2021,2
ITO,Hilo,182.87,198.66,2021,2
MKK,Hoolehua,558.17,606.37,2021,2
LNY,Lanai,496.0,538.83,2021,2
JHM,Kapalua,483.5,525.25,2021,2
HNL,Honolulu,338.12,361.53,2021,3
OGG,Kahului,274.45,293.45,2021,3
KOA,Kona,265.11,283.46,2021,3
LIH,Lihue,261.05,279.12,2021,3
ITO,Hilo,200.99,214.91,2021,3
MKK,Hoolehua,670.5,716.92,2021,3
LNY,Lanai,1536.0,1642.35,2021,3
JHM,Kapalua,1132.0,1210.38,2021,3
HNL,Honolulu,332.77,350.5,2021,4
OGG,Kahului,265.03,279.15,2021,4
KOA,Kona,261.53,275.45,2021,4
LIH,Lihue,252.65,266.1,2021,4
ITO,Hilo,197.58,208.1,2021,4
MKK,Hoolehua,719.83,758.17,2021,4
LNY,Lanai,778.0,819.43,2021,4
JHM,Kapalua,418.5,440.79,2021,4
HNM,Hana,1164.0,1225.99,2021,4
